date,hashcode,arrival time,departure time,required energy
20210201,-8800005105942951559,6,11,36.0
20210201,-1135287161356782367,36,7,7.2
20210201,-5432639813448727208,36,15,12.24
20210201,-6461814495394118895,7,9,14.4
20210201,2585196749829987991,7,12,7.92
20210201,5751648566796612478,23,9,10.8
20210201,-3946710094207837487,9,10,7.2
20210201,-333394643682494087,39,11,14.4
20210201,2022154938389056120,10,15,39.6
20210201,5410612690468526969,10,12,14.4
20210201,-333394643682494087,41,12,7.2
20210201,-5369408163965479079,13,15,14.4
20210201,6987318350019114177,14,16,3.14
20210201,-3807651148422241957,15,16,7.2
20210201,-2587803007206698271,16,17,10.8
20210202,-649538573264654976,0,2,14.4
20210202,-649538573264654976,2,3,10.8
20210202,-5117977818912866300,5,7,14.4
20210202,-333394643682494087,6,9,25.2
20210202,5676425991215679769,6,10,5.76
20210202,-8800005105942951559,6,15,12.96
20210202,-3178076031790810270,6,9,21.6
20210202,-1135287161356782367,36,7,7.2
20210202,-6461814495394118895,7,9,14.4
20210202,6847355682937288167,7,9,14.4
20210202,2585196749829987991,7,12,7.92
20210202,5092175384433619388,8,10,18.0
20210202,5751648566796612478,23,9,10.8
20210202,2473968520053471680,9,17,12.24
20210202,3718741780888569009,39,11,14.4
20210202,5448709080137302862,10,14,28.8
20210202,-5289505940208190640,10,12,14.4
20210202,-3807651148422241957,14,15,7.2
20210202,7921145478050918603,14,16,14.4
20210202,-6682883399122277774,44,16,14.4
20210202,-6682883399122277774,46,18,14.4
20210203,-649538573264654976,0,2,14.4
20210203,-649538573264654976,2,3,10.8
20210203,-5117977818912866300,5,7,14.4
20210203,-333394643682494087,6,9,25.2
20210203,5676425991215679769,6,10,5.76
20210203,-3178076031790810270,6,9,21.6
20210203,-8800005105942951559,6,9,25.2
20210203,-1135287161356782367,36,7,7.2
20210203,-5432639813448727208,36,15,12.24
20210203,-6461814495394118895,7,9,14.4
20210203,2585196749829987991,7,12,7.92
20210203,-3946710094207837487,9,10,7.2
20210203,5410612690468526969,39,12,21.6
20210203,-5032868257875194131,42,15,21.6
20210203,8248346431092248260,58,15,12.6
20210203,-5369408163965479079,14,15,10.8
20210203,950002426118096408,14,16,14.4
20210203,-3807651148422241957,45,16,7.2
20210204,-649538573264654976,0,2,14.4
20210204,-649538573264654976,2,3,10.8
20210204,-5117977818912866300,5,7,14.4
20210204,-333394643682494087,6,9,25.2
20210204,5676425991215679769,6,10,5.76
20210204,-8800005105942951559,6,15,13.32
20210204,-3178076031790810270,6,9,21.6
20210204,-1135287161356782367,36,7,7.2
20210204,-6461814495394118895,7,9,14.4
20210204,2585196749829987991,7,12,7.92
20210204,-2105045978067981104,37,15,11.52
20210204,5092175384433619388,37,10,18.0
20210204,-1793815564369325227,13,16,21.6
20210204,8248346431092248260,14,14,5.98
20210204,-4304432489298355294,14,16,2.88
20210204,-3807651148422241957,15,16,7.2
20210204,-6903849329596607952,20,22,14.4
20210205,-649538573264654976,0,2,14.4
20210205,-649538573264654976,2,3,10.8
20210205,-5117977818912866300,5,7,14.4
20210205,-6895670320955208391,6,10,28.8
20210205,5676425991215679769,6,10,5.76
20210205,-8800005105942951559,6,10,32.4
20210205,4876867253410653446,6,8,14.4
20210205,4876867253410653446,6,13,50.4
20210205,-1135287161356782367,36,7,7.2
20210205,-5432639813448727208,36,15,12.24
20210205,-6461814495394118895,7,9,14.4
20210205,2585196749829987991,7,12,7.92
20210205,4876867253410653446,8,13,36.0
20210205,2022154938389056120,38,12,28.8
20210205,-2587803007206698271,9,11,14.4
20210205,-3946710094207837487,9,10,7.2
20210205,5092175384433619388,39,12,19.8
20210205,5410612690468526969,40,12,14.4
20210206,-649538573264654976,0,2,14.4
20210206,-649538573264654976,2,3,10.8
20210206,6987318350019114177,14,15,1.97
20210208,-5117977818912866300,5,7,14.4
20210208,-333394643682494087,6,9,25.2
20210208,-6895670320955208391,6,10,28.8
20210208,5676425991215679769,6,10,5.76
20210208,-3178076031790810270,6,9,21.6
20210208,-8800005105942951559,6,7,10.8
20210208,-1135287161356782367,36,7,7.2
20210208,-1793815564369325227,7,11,28.8
20210208,2585196749829987991,7,12,7.92
20210208,-2105045978067981104,37,15,11.52
20210208,-3946710094207837487,9,10,7.2
20210208,5410612690468526969,39,12,21.6
20210208,3718741780888569009,10,13,21.6
20210208,-8155779866190922989,40,15,32.4
20210208,8248346431092248260,43,15,10.8
20210208,5751648566796612478,58,15,10.8
20210208,-3807651148422241957,45,16,7.2
20210209,-5117977818912866300,5,7,14.4
20210209,-333394643682494087,6,9,25.2
20210209,-6895670320955208391,6,10,28.8
20210209,5676425991215679769,6,10,5.76
20210209,-8800005105942951559,6,15,12.96
20210209,-1135287161356782367,36,7,7.2
20210209,-6461814495394118895,7,9,14.4
20210209,2585196749829987991,7,12,7.92
20210209,2473968520053471680,9,17,11.52
20210209,-3178076031790810270,9,12,21.6
20210209,-152860818020396042,39,11,14.4
20210209,-3790371143371377667,10,16,9.36
20210209,5448709080137302862,40,14,28.8
20210209,-152860818020396042,41,13,14.4
20210209,5092175384433619388,13,15,18.0
20210209,-3807651148422241957,15,16,7.2
20210209,-7631734720817692176,32,18,9.0
20210210,-5117977818912866300,5,7,14.4
20210210,-333394643682494087,6,9,25.2
20210210,-6895670320955208391,6,10,28.8
20210210,5676425991215679769,6,10,5.76
20210210,-3178076031790810270,6,9,21.6
20210210,-8800005105942951559,6,10,28.8
20210210,-1135287161356782367,36,7,7.2
20210210,-5432639813448727208,36,15,12.24
20210210,-6461814495394118895,7,9,14.4
20210210,2585196749829987991,7,12,7.92
20210210,-3946710094207837487,9,10,7.2
20210210,5751648566796612478,39,11,10.8
20210210,5410612690468526969,10,13,21.6
20210210,7921145478050918603,41,13,14.4
20210210,297337539398252134,12,15,25.2
20210210,-5032868257875194131,13,15,20.38
20210210,-7631734720817692176,43,15,14.4
20210210,950002426118096408,45,16,7.2
20210211,-5117977818912866300,5,7,14.4
20210211,-333394643682494087,6,9,25.2
20210211,-6895670320955208391,6,10,28.8
20210211,5676425991215679769,6,10,5.76
20210211,-8800005105942951559,6,15,13.68
20210211,-1135287161356782367,36,7,7.2
20210211,-1793815564369325227,7,11,28.8
20210211,-6461814495394118895,7,9,14.4
20210211,2585196749829987991,7,12,7.92
