INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-09-01T21:00:00-00:00,2021-09-01T22:00:00-00:00,1,2021-09-01,15,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,160.17,DAM,4
2021-09-01T12:00:00-00:00,2021-09-01T13:00:00-00:00,1,2021-09-01,6,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,91.74,DAM,4
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,1,2021-09-01,22,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,126.09,DAM,4
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,1,2021-09-01,23,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,112.53,DAM,4
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,1,2021-09-01,24,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,101.5,DAM,4
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,1,2021-09-01,5,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,86.98,DAM,4
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,1,2021-09-01,7,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,100.47,DAM,4
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,1,2021-09-01,16,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,167.92,DAM,4
2021-09-02T00:00:00-00:00,2021-09-02T01:00:00-00:00,1,2021-09-01,18,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,168.81,DAM,4
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,1,2021-09-01,2,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,93.91,DAM,4
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,1,2021-09-01,3,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,89.48,DAM,4
2021-09-01T15:00:00-00:00,2021-09-01T16:00:00-00:00,1,2021-09-01,9,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,110.49,DAM,4
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,1,2021-09-01,13,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,139.39,DAM,4
2021-09-01T14:00:00-00:00,2021-09-01T15:00:00-00:00,1,2021-09-01,8,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,104.97,DAM,4
